RUN: 118 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.6 % | C: 39
RUN: 119 s | Fan: 1680 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 120 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.3 % | C: 39
RUN: 121 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 122 s | Fan: 1740 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 123 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 124 s | Fan: 1680 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 125 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 126 s | Fan: 1740 RPM | Pump: 1.2 Hz | Heater: 26.5 % | C: 39
RUN: 127 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 26.8 % | C: 39
RUN: 128 s | Fan: 1740 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 39
RUN: 129 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.6 % | C: 39
RUN: 130 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 26.5 % | C: 39
RUN: 131 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 26.9 % | C: 40
RUN: 132 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 27.0 % | C: 40
RUN: 133 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.6 % | C: 40
RUN: 134 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.8 % | C: 40
RUN: 135 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 27.0 % | C: 40
RUN: 136 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 27.0 % | C: 40
RUN: 137 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.4 % | C: 40
RUN: 138 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.5 % | C: 41
RUN: 139 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: 26.5 % | C: 41
RUN: 140 s | Fan: 1740 RPM | Pump: 1.3 Hz | Heater: 27.1 % | C: 42
RUN: 141 s | Fan: 1740 RPM | Pump: 1.3 Hz | Heater: 26.6 % | C: 43
RUN: 142 s | Fan: 1800 RPM | Pump: 1.3 Hz | Heater: 26.6 % | C: 43
RUN: 143 s | Fan: 1860 RPM | Pump: 1.4 Hz | Heater: 27.0 % | C: 43
